Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.,.,.
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,200,23.4,29.1
2013,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,10,.,.
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,75,5.2,5.1
2009,All Other Causes,F,Not Stated/Unknown,26,.,.
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83,14.5,17.8
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,11,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,11,.,.
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Other Race/ Ethnicity,.,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3236,240.5,205.6
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,57,4.8,4.7
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,8,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1230,97.1,106.7
2014,Diabetes Mellitus (E10-E14),M,Hispanic,186,15.6,23.2
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.,.,.
2008,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1080,97.7,165.9
2012,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,507,35.7,21.4
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,.,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32,6.2,7.6
2014,All Other Causes,F,Asian and Pacific Islander,339,54.2,59
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,211,15.7,14.5
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,140,12.3,21.4
2011,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,14,.,.
2013,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146,97.1,148.5
2013,All Other Causes,F,Asian and Pacific Islander,320,53.3,59
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18,3.7,3.6
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,.,.,.
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2015,236.7,307.7
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,26,5.1,7.2
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123,9.2,7.6
2012,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,22,3.8,4.3
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,52,.,.
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,.,.,.
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,22,4.3,6.3
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1307,110.7,183.3
2011,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1085,88.6,99.6
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330,120.3,228
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158,18.5,20.6
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,220,17.4,19
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121,248.9,340.2
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227,21.7,20
2014,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292,21.7,18.1
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,.,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,622,43.7,22.1
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,7,.,.
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13,2.4,3.3
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,14,.,.
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10,.,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,152,17.8,18.6
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,169,13.6,15.7
2010,All Other Causes,M,Hispanic,1167,102.1,150
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,66,5.2,5.4
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1251,107.1,182.5
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,10,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,.,.,.
2007,Diabetes Mellitus (E10-E14),F,Hispanic,205,17.6,22.6
2013,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,633,114.2,130.9
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,7,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,43,7.5,8.5
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218,17.8,21.5
2013,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1149,92.1,99.9
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,.,.,.
2012,Alzheimer's Disease (G30),F,White Non-Hispanic,222,15.7,7.2
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,.,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,233,19.7,33.1
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163,15.5,14.8
2012,Alzheimer's Disease (G30),F,Black Non-Hispanic,115,11,8.9
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,235,27.5,27.6
2008,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1464,172.4,220.4
2007,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,395,76.7,88.4
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,8,.,.
2007,All Other Causes,F,Other Race/ Ethnicity,15,.,.
2009,All Other Causes,M,Asian and Pacific Islander,220,43.1,56.1
2010,All Other Causes,M,Other Race/ Ethnicity,25,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,132,11.6,13.9
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,437,72.8,81.8
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722,258.6,247.3
2011,All Other Causes,F,Hispanic,1025,83.7,94.8
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1868,217.7,258.5
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,92,.,.
2008,All Other Causes,M,Black Non-Hispanic,1216,143.2,163.5
2010,All Other Causes,F,White Non-Hispanic,2140,149.7,93.9
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,31,6.2,9.8
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,273,26.1,22.8
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,13.2,16.8
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,61,11.1,14.1
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Asian and Pacific Islander,18,3.2,4
2009,All Other Causes,M,Black Non-Hispanic,1246,146.7,167.7
2014,All Other Causes,M,Other Race/ Ethnicity,74,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,207,19.7,15.9
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,106,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,199,16.7,26.6
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,191,18.2,17.1
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,178,20.9,27.7
2011,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Not Stated/Unknown,.,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295,28,26.9
2013,All Other Causes,M,Black Non-Hispanic,1341,156.3,175.7
2014,Alzheimer's Disease (G30),F,White Non-Hispanic,276,19.5,8.6
2009,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,398,72.5,83.5
2013,All Other Causes,F,White Non-Hispanic,2595,182.5,111.1
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162,11.3,7.3
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Other Race/ Ethnicity,.,.,.
2012,All Other Causes,M,Hispanic,1199,102.6,150.5
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13,2.5,3.2
2012,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36,.,.
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Other Race/ Ethnicity,.,.,.
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,189,16,19
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109,9.3,9.5
2008,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,621,43.3,22.2
2014,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3153,222.5,150.2
2008,All Other Causes,F,Black Non-Hispanic,1268,121,116.1
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,199,14.9,13.6
2010,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,382,26.7,14.1
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,196,17.5,20
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,6,.,.
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,7,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,13,.,.
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,154,12.9,16
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149,13.5,16.8
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245,18.3,15.4
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2011,Alzheimer's Disease (G30),F,Not Stated/Unknown,.,.,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,184,13,8.2
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,63,.,.
2009,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,371,27.6,23.3
2008,Diabetes Mellitus (E10-E14),F,Hispanic,228,19.3,24.1
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,.,.,.
2009,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,515,36.3,21
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248,23.6,22.1
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,9,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,98,17.2,20.6
2012,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1563,182.7,215.3
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11,.,.
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,12,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,201,23.6,31.8
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,108,20.7,31.7
2013,All Other Causes,M,Hispanic,1193,101,146.4
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,74,13.2,16.9
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11,.,.
2008,All Other Causes,M,Hispanic,1069,96.7,139.5
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,5,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,61,11.5,14.8
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,137,16.1,22
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,235,20.6,38.9
2010,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1045,85.9,98.5
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,43,.,.
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,40,7.4,7.3
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25,.,.
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17,3.1,3.1
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,89,15.8,19.2
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,84,16.5,26.1
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,33,5.6,5.8
2009,All Other Causes,M,White Non-Hispanic,1818,135.1,118.5
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,155,18,21.6
2010,Alzheimer's Disease (G30),F,Black Non-Hispanic,88,8.4,7.3
2009,Atherosclerosis (I70),F,Other Race/ Ethnicity,.,.,.
2011,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,7,.,.
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,7,.,.
2014,Septicemia (A40-A41),M,Not Stated/Unknown,8,.,.
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,6,.,.
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,.,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,372,25.9,14.4
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,7,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,105,18.3,25
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,9,.,.
2007,Septicemia (A40-A41),F,Black Non-Hispanic,89,8.5,8.1
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1263,102,118.4
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Not Stated/Unknown,.,.,.
2008,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,210,14.6,8.8
2012,All Other Causes,F,Other Race/ Ethnicity,22,.,.
2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107,7.5,3.5
2010,All Other Causes,M,White Non-Hispanic,2034,151.6,130.9
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,13,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,50,.,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327,121.7,238.4
2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231,16.1,9.8
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,10,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1590,186.4,224.4
2014,All Other Causes,F,Other Race/ Ethnicity,59,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,68,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,618,45.9,36.7
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4719,332.7,167.7
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,37,7,10.5
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,180,15.6,18.9
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,145,12.1,19.3
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,94,.,.
2008,All Other Causes,F,Asian and Pacific Islander,214,40.2,50.3
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,297,34.9,34
2009,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,290,21.6,18.2
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,3990,297.1,238.4
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,92,7.7,8.7
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,12,.,.
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,261,19.5,17.6
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2194,209.1,169.1
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242,28.3,37.4
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,209,18.1,34.4
2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246,28.9,38.1
2010,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,526,101,124.5
2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2282,217.7,194.2
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,148,17.1,17.7
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,222,26.1,37.6
2012,Septicemia (A40-A41),M,Other Race/ Ethnicity,6,.,.
2007,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.,.,.
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63,5.3,6.2
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,8,.,.
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246,18.3,15.6
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,25,5.2,8.3
2009,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1735,165.7,151.1
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,469,86.8,116.9
2011,Diabetes Mellitus (E10-E14),F,Hispanic,196,16,18.5
2010,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,86,8.2,7.4
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5,.,.
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,5,.,.
2008,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,.,.,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,18,3.3,4.6
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,554,96.5,118.5
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,10,.,.
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,66,13.6,25.7
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,200,23.4,28.1
2007,Septicemia (A40-A41),F,Hispanic,49,4.2,5.5
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,158,12.8,14.6
2013,All Other Causes,M,White Non-Hispanic,2293,170.3,143.3
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1418,117.4,174.6
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1224,101.3,143.7
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,369,30.6,30.5
2016,Diabetes Mellitus (E10-E14),Male,Hispanic,217,18,25.8
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,191,15.8,24.9
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,177,14.7,16.4
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,170,14.1,19.7
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,146,12.1,18.4
2016,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Hispanic,146,12.1,13.9
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Hispanic,99,8.2,13.1
2016,All Other Causes,Male,Hispanic,1233,102.1,135.7
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,683,115,121.1
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,603,101.5,117.8
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,113,19,22.9
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,95,16,18.1
2016,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,76,12.8,14.2
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,75,12.6,15.6
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,60,10.1,11.1
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,48,8.1,9.8
2016,Alzheimer's Disease (G30),Male,Asian and Pacific Islander,37,6.2,9.1
2016,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Asian and Pacific Islander,32,5.4,5.4
2016,All Other Causes,Male,Asian and Pacific Islander,449,75.6,85.1
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic White,4054,303.4,239.3
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic White,3090,231.3,188.1
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic White,482,36.1,33.3
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic White,461,34.5,26.7
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic White,332,24.8,19.8
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic White,317,23.7,18.6
2016,Diabetes Mellitus (E10-E14),Male,Non-Hispanic White,252,18.9,15.4
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic White,244,18.3,15.9
2016,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Non-Hispanic White,176,13.2,11.7
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Non-Hispanic White,151,11.3,8.9
2016,All Other Causes,Male,Non-Hispanic White,2381,178.2,146.5
2016,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic Black,2106,244.9,271.1
2016,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic Black,1611,187.4,199.6
2016,Diabetes Mellitus (E10-E14),Male,Non-Hispanic Black,313,36.4,39.9
2016,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic Black,258,30,34.5
2016,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic Black,258,30,27.6
2016,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic Black,220,25.6,28.6
2016,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic Black,183,21.3,23.5
2016,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Non-Hispanic Black,168,19.5,19.7
2016,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Non-Hispanic Black,161,18.7,20.8
2016,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic Black,153,17.8,18.4
2016,All Other Causes,Male,Non-Hispanic Black,1375,159.9,170.5
